variant,n_files,file_size,P,rep,seconds
super,50,5000000,1,1,0.520471952
super,50,5000000,1,2,0.517465192
super,50,5000000,1,3,0.524101771
ghc,50,5000000,1,1,0.532235781
ghc,50,5000000,1,2,0.543098601
ghc,50,5000000,1,3,0.538029655
parpseq,50,5000000,1,1,0.507745629
parpseq,50,5000000,1,2,0.509003824
parpseq,50,5000000,1,3,0.521260427
super,50,5000000,2,1,0.531175941
super,50,5000000,2,2,0.526163096
super,50,5000000,2,3,0.523402182
ghc,50,5000000,2,1,0.335564455
ghc,50,5000000,2,2,0.310638484
ghc,50,5000000,2,3,0.331577713
parpseq,50,5000000,2,1,0.356545319
parpseq,50,5000000,2,2,0.319816673
parpseq,50,5000000,2,3,0.288530896
super,50,5000000,4,1,0.303928821
super,50,5000000,4,2,0.304645735
super,50,5000000,4,3,0.303216038
ghc,50,5000000,4,1,0.299393562
ghc,50,5000000,4,2,0.275072454
ghc,50,5000000,4,3,0.311374908
parpseq,50,5000000,4,1,0.288090573
parpseq,50,5000000,4,2,0.290487448
parpseq,50,5000000,4,3,0.363874511
super,50,5000000,8,1,0.230850984
super,50,5000000,8,2,0.226886235
super,50,5000000,8,3,0.221381461
ghc,50,5000000,8,1,0.327155542
ghc,50,5000000,8,2,0.290706469
ghc,50,5000000,8,3,0.259192026
parpseq,50,5000000,8,1,0.304970172
parpseq,50,5000000,8,2,0.267986011
parpseq,50,5000000,8,3,0.283681026
super,50,5000000,12,1,0.168024502
super,50,5000000,12,2,0.181641771
super,50,5000000,12,3,0.181808798
ghc,50,5000000,12,1,0.230990228
ghc,50,5000000,12,2,0.261466049
ghc,50,5000000,12,3,0.245158348
parpseq,50,5000000,12,1,0.251817783
parpseq,50,5000000,12,2,0.307242427
parpseq,50,5000000,12,3,0.199422498
super,50,5000000,16,1,0.208576915
super,50,5000000,16,2,0.179580542
super,50,5000000,16,3,0.200488789
ghc,50,5000000,16,1,0.213811161
ghc,50,5000000,16,2,0.247006856
ghc,50,5000000,16,3,0.296742141
parpseq,50,5000000,16,1,0.22088913
parpseq,50,5000000,16,2,0.228208586
parpseq,50,5000000,16,3,0.261964238
super,50,5000000,24,1,0.196089666
super,50,5000000,24,2,0.216717723
super,50,5000000,24,3,0.212705273
ghc,50,5000000,24,1,0.281512912
ghc,50,5000000,24,2,0.237832262
ghc,50,5000000,24,3,0.226518713
parpseq,50,5000000,24,1,0.227359455
parpseq,50,5000000,24,2,0.246024318
parpseq,50,5000000,24,3,0.226872507
