variant,N,P,reps,mean_seconds,std_seconds
super,1000,2,10,1.424046,0.008341
super,2000,2,10,1.508730,0.004960
super,3000,2,10,1.593358,0.005143
super,4000,2,10,1.667040,0.007339
super,5000,2,10,1.741995,0.006764
super,6000,2,10,1.818394,0.006207
super,7000,2,10,1.891100,0.009091
super,8000,2,10,1.974414,0.013922
super,9000,2,10,2.051961,0.008670
super,10000,2,10,2.120767,0.010871
super,11000,2,10,2.206626,0.015432
super,12000,2,10,2.300112,0.013332
super,13000,2,10,2.389632,0.019591
super,14000,2,10,2.443697,0.014850
super,15000,2,10,2.533704,0.015139
super,16000,2,10,2.625287,0.062717
super,17000,2,10,2.697952,0.021289
super,18000,2,10,2.768898,0.013861
super,19000,2,10,2.835146,0.010819
super,20000,2,10,2.931883,0.017074
super,1000,4,10,1.537449,0.005660
super,2000,4,10,1.679958,0.008546
super,3000,4,10,1.827746,0.011614
super,4000,4,10,1.971857,0.013200
super,5000,4,10,2.107621,0.013193
super,6000,4,10,2.247449,0.009597
super,7000,4,10,2.406744,0.030395
super,8000,4,10,2.533313,0.019078
super,9000,4,10,2.657884,0.012323
super,10000,4,10,2.821288,0.016345
super,11000,4,10,2.972035,0.014799
super,12000,4,10,3.136360,0.029210
super,13000,4,10,3.265246,0.014772
super,14000,4,10,3.381503,0.032348
super,15000,4,10,3.550375,0.017580
super,16000,4,10,3.679989,0.028441
super,17000,4,10,3.847103,0.026366
super,18000,4,10,3.972857,0.038675
super,19000,4,10,4.110890,0.021888
super,20000,4,10,4.265731,0.041736
super,1000,6,10,1.585884,0.007296
super,2000,6,10,1.739949,0.010454
super,3000,6,10,1.907876,0.011288
super,4000,6,10,2.058850,0.012800
super,5000,6,10,2.206504,0.012533
super,6000,6,10,2.367396,0.063859
super,7000,6,10,2.502905,0.013712
super,8000,6,10,2.645553,0.019589
super,9000,6,10,2.803026,0.027530
super,10000,6,10,2.957333,0.017278
super,11000,6,10,3.151892,0.020202
super,12000,6,10,3.298742,0.030717
super,13000,6,10,3.487954,0.032862
super,14000,6,10,3.620349,0.016375
super,15000,6,10,3.772302,0.048848
super,16000,6,10,3.905664,0.044140
super,17000,6,10,4.077792,0.037311
super,18000,6,10,4.233700,0.028957
super,19000,6,10,4.387275,0.051667
super,20000,6,10,4.562689,0.031167
super,1000,8,10,1.621164,0.017183
super,2000,8,10,1.779549,0.012981
super,3000,8,10,1.931272,0.029324
super,4000,8,10,2.080122,0.013622
super,5000,8,10,2.234340,0.029246
super,6000,8,10,2.380714,0.020484
super,7000,8,10,2.532288,0.026108
super,8000,8,10,2.666699,0.025334
super,9000,8,10,2.820897,0.025258
super,10000,8,10,2.982756,0.026994
super,11000,8,10,3.151730,0.021038
super,12000,8,10,3.304928,0.022197
super,13000,8,10,3.458665,0.032493
super,14000,8,10,3.610766,0.021770
super,15000,8,10,3.775902,0.018278
super,16000,8,10,3.932359,0.022352
super,17000,8,10,4.073835,0.020743
super,18000,8,10,4.220703,0.037767
super,19000,8,10,4.369361,0.028062
super,20000,8,10,4.570886,0.046042
